name,use_manifold,mixed_noise,tangent_fraction,normal_fraction,num_timesteps,num_epochs,batch_size,lr,num_eval_samples,max_true_eval,max_gen_eval,u_range,v_range,grid_n_u,grid_n_v,seed,device,chamfer_mean,swiss_dist_mean,chamfer_std,swiss_dist_std
embed_dim_4_baseline_full_normal_epochs20,True,True,0.0,1.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,47402.204296875,47372.37109375,1901.4611731907669,1900.764064397912
embed_dim_4_baseline_full_tangent_epochs20,True,True,1.0,0.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,51719.161328125,51693.797265625,6074.36324651762,6074.441969608656
embed_dim_4_tangent_ratio_0.20_epochs20,True,True,1.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,153.37377986907958,151.1108528137207,146.84399583807527,146.68874629750366
embed_dim_4_tangent_ratio_0.40_epochs20,True,True,2.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.023838889598847,3.125710868835449,1.4648782074519229,1.3733001216626601
embed_dim_4_tangent_ratio_0.60_epochs20,True,True,3.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,2.388111042976379,1.6882835268974303,0.18956450777714398,0.15627535550145885
embed_dim_4_tangent_ratio_0.80_epochs20,True,True,4.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.2059993505477906,2.4297085046768188,0.21454143202406767,0.1684577104091549
embed_dim_4_tangent_ratio_1.00_epochs20,True,True,5.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.445165205001831,2.668333387374878,0.14394435491547705,0.1698229711312631
embed_dim_4_tangent_ratio_1.20_epochs20,True,True,6.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.196038770675659,3.4115041494369507,0.30979948505710003,0.3008737372594454
embed_dim_4_tangent_ratio_1.40_epochs20,True,True,7.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.834170246124268,3.966769289970398,0.33196345855589643,0.3172214025700568
embed_dim_4_tangent_ratio_1.60_epochs20,True,True,8.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.044410467147827,4.179249215126037,0.26768862054999704,0.25555457521094777
embed_dim_4_tangent_ratio_1.80_epochs20,True,True,9.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.196999168395996,4.311522889137268,0.29453671793642755,0.28884835225792854
embed_dim_4_tangent_ratio_2.00_epochs20,True,True,10.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.882650327682495,4.937392520904541,0.2867908972045285,0.26710100518239127
embed_dim_5_baseline_full_normal_epochs20,True,True,0.0,1.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,46559.800390625,46530.852734375,2062.1010852470667,2062.3236378447705
embed_dim_5_baseline_full_tangent_epochs20,True,True,1.0,0.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,106169.52890625,106034.1640625,6740.408209313026,6744.136364348495
embed_dim_5_tangent_ratio_0.20_epochs20,True,True,1.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,551.6654678344727,548.1604866027832,464.5995195685837,464.1047312327768
embed_dim_5_tangent_ratio_0.40_epochs20,True,True,2.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.021028470993042,4.777019929885864,2.1304062568674142,2.0772972757644212
embed_dim_5_tangent_ratio_0.60_epochs20,True,True,3.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.1229408264160154,2.279128706455231,0.253993145826433,0.25491564877960987
embed_dim_5_tangent_ratio_0.80_epochs20,True,True,4.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.3347315073013304,2.542324757575989,0.3368860514405338,0.355492911175322
embed_dim_5_tangent_ratio_1.00_epochs20,True,True,5.0,5.0,1000,20,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.798853802680969,2.9680723428726195,0.25480793078954345,0.2722129770413985
