name,use_manifold,mixed_noise,tangent_fraction,normal_fraction,num_timesteps,num_epochs,batch_size,lr,num_eval_samples,max_true_eval,max_gen_eval,u_range,v_range,grid_n_u,grid_n_v,seed,device,chamfer_mean,swiss_dist_mean,chamfer_std,swiss_dist_std
embed_dim_3_baseline_full_normal_epochs5,True,True,0.0,1.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,50026.1609375,49995.720703125,4914.17830697542,4913.970788758555
embed_dim_3_baseline_full_tangent_epochs5,True,True,1.0,0.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,16.62064657211304,15.264181423187257,1.9286372620347036,1.9487366023903152
embed_dim_3_tangent_ratio_0.20_epochs5,True,True,1.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,85.40846748352051,82.31792678833008,35.72585825729386,35.33358886034303
embed_dim_3_tangent_ratio_0.40_epochs5,True,True,2.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,11.578059864044189,9.920458507537841,1.3694661945772437,1.2774909281604896
embed_dim_3_tangent_ratio_0.60_epochs5,True,True,3.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.651838016510009,7.334210014343261,0.7408523832629064,0.6720571701068374
embed_dim_3_tangent_ratio_0.80_epochs5,True,True,4.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.435466003417968,7.1454075336456295,0.7734960065691944,0.7488873605568233
embed_dim_3_tangent_ratio_1.00_epochs5,True,True,5.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.774717378616334,7.499936056137085,1.0612723756476359,1.0343222529910725
embed_dim_3_tangent_ratio_1.20_epochs5,True,True,6.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,9.5560809135437,8.279276418685914,1.1673122723079552,1.0928625939613414
embed_dim_3_tangent_ratio_1.40_epochs5,True,True,7.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.690030574798584,9.415418100357055,1.0325855238691741,1.0266295317225451
embed_dim_3_tangent_ratio_1.60_epochs5,True,True,8.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,11.481173992156982,10.157559823989867,1.2308055933904338,1.1999038630538175
embed_dim_3_tangent_ratio_1.80_epochs5,True,True,9.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,11.112870407104491,9.81515064239502,0.8370639993516692,0.8296085165430236
embed_dim_3_tangent_ratio_2.00_epochs5,True,True,10.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,12.64977502822876,11.332115840911865,2.479669476928067,2.4437087608092116
embed_dim_3_baseline_full_normal_epochs10,True,True,0.0,1.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,45014.873828125,44983.754296875,3739.611550053199,3741.0263304996247
embed_dim_3_baseline_full_tangent_epochs10,True,True,1.0,0.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,13.462438011169434,12.202025413513184,2.013615164637848,1.9956792869604487
embed_dim_3_tangent_ratio_0.20_epochs10,True,True,1.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,48.276544380187985,46.01253471374512,26.21660497500008,26.12545385373364
embed_dim_3_tangent_ratio_0.40_epochs10,True,True,2.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.117453622817993,4.852697467803955,0.7451765382899975,0.7036835863401466
embed_dim_3_tangent_ratio_0.60_epochs10,True,True,3.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.9834070920944216,3.005182480812073,0.2806434301441136,0.27782027222762173
embed_dim_3_tangent_ratio_0.80_epochs10,True,True,4.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.363701009750367,3.4732789516448976,0.4913036330578398,0.4521056375517937
embed_dim_3_tangent_ratio_1.00_epochs10,True,True,5.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.180862331390381,4.237181401252746,0.6599055642120407,0.6050955665621164
embed_dim_3_tangent_ratio_1.20_epochs10,True,True,6.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.2399827003479,5.2264479637146,0.5764531505140805,0.5322829516615066
embed_dim_3_tangent_ratio_1.40_epochs10,True,True,7.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.63498706817627,5.602592706680298,0.5027223095402092,0.4877884589913154
embed_dim_3_tangent_ratio_1.60_epochs10,True,True,8.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.606646490097046,6.514683818817138,0.7083414656850333,0.6729765789418425
embed_dim_3_tangent_ratio_1.80_epochs10,True,True,9.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.123872375488281,7.016058778762817,0.6870316670805132,0.6687478548380544
embed_dim_3_tangent_ratio_2.00_epochs10,True,True,10.0,5.0,1000,10,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.854654121398926,7.6919349193572994,0.858610412392315,0.8223448478845876
embed_dim_3_baseline_full_normal_epochs15,True,True,0.0,1.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,46453.406640625,46424.254296875,1496.2421862042838,1500.4472581252016
embed_dim_3_baseline_full_tangent_epochs15,True,True,1.0,0.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.421375846862793,9.270560503005981,1.3728067386932552,1.3687472822653683
embed_dim_3_tangent_ratio_0.20_epochs15,True,True,1.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,51.49552421569824,49.65731773376465,12.439982202735118,12.296323698073614
embed_dim_3_tangent_ratio_0.40_epochs15,True,True,2.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.5786685705184937,2.6867290854454042,0.6286720773713099,0.554885794107791
embed_dim_3_tangent_ratio_0.60_epochs15,True,True,3.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,2.6340521574020386,1.892793607711792,0.46205001279281416,0.39676845238805103
embed_dim_3_tangent_ratio_0.80_epochs15,True,True,4.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.313209366798401,2.5483046054840086,0.1697478774418053,0.18009054591266963
embed_dim_3_tangent_ratio_1.00_epochs15,True,True,5.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,3.8162285327911376,2.9974623918533325,0.26200664375813126,0.2549816050457112
embed_dim_3_tangent_ratio_1.20_epochs15,True,True,6.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.593364095687866,3.7623708724975584,0.2505679874322788,0.24468222519460456
embed_dim_3_tangent_ratio_1.40_epochs15,True,True,7.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,4.93856840133667,4.072956800460815,0.34217179287670924,0.33042297436181994
embed_dim_3_tangent_ratio_1.60_epochs15,True,True,8.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,5.583287858963013,4.6332714557647705,0.3930782578904223,0.38240657095520264
embed_dim_3_tangent_ratio_1.80_epochs15,True,True,9.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.185167074203491,5.225575065612793,0.41098734481370164,0.38902018494959756
embed_dim_3_tangent_ratio_2.00_epochs15,True,True,10.0,5.0,1000,15,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.382510995864868,5.369725608825684,0.49030727157920745,0.44597065727396124
