name,use_manifold,mixed_noise,tangent_fraction,normal_fraction,num_timesteps,num_epochs,batch_size,lr,num_eval_samples,max_true_eval,max_gen_eval,u_range,v_range,grid_n_u,grid_n_v,seed,device,chamfer_mean,swiss_dist_mean,chamfer_std,swiss_dist_std
embed_dim_3_baseline_full_normal_epochs5,True,True,0.0,1.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,49160.97265625,49135.77734375,0.0,0.0
embed_dim_3_baseline_full_tangent_epochs5,True,True,1.0,0.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,23.31743812561035,21.87933921813965,0.0,0.0
embed_dim_3_tangent_ratio_0.20_epochs5,True,True,1.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,57.356197357177734,54.548343658447266,0.0,0.0
embed_dim_3_tangent_ratio_0.40_epochs5,True,True,2.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,11.983158111572266,10.470431327819824,0.0,0.0
embed_dim_3_tangent_ratio_0.60_epochs5,True,True,3.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.836115837097168,6.478161334991455,0.0,0.0
embed_dim_3_tangent_ratio_0.80_epochs5,True,True,4.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.567925453186035,7.297896862030029,0.0,0.0
embed_dim_3_tangent_ratio_1.00_epochs5,True,True,5.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.790849685668945,7.529469013214111,0.0,0.0
embed_dim_3_tangent_ratio_1.20_epochs5,True,True,6.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,11.148213386535645,9.776476860046387,0.0,0.0
embed_dim_3_tangent_ratio_1.40_epochs5,True,True,7.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.983991622924805,9.647446632385254,0.0,0.0
embed_dim_3_tangent_ratio_1.60_epochs5,True,True,8.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.215592384338379,8.974822998046875,0.0,0.0
embed_dim_3_tangent_ratio_1.80_epochs5,True,True,9.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,13.803779602050781,12.490245819091797,0.0,0.0
embed_dim_3_tangent_ratio_2.00_epochs5,True,True,10.0,5.0,1000,5,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.903480529785156,9.70740795135498,0.0,0.0
embed_dim_3_baseline_full_normal_epochs6,True,True,0.0,1.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,45705.0625,45682.97265625,0.0,0.0
embed_dim_3_baseline_full_tangent_epochs6,True,True,1.0,0.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,16.899438858032227,15.55163860321045,0.0,0.0
embed_dim_3_tangent_ratio_0.20_epochs6,True,True,1.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,51.14755630493164,48.781654357910156,0.0,0.0
embed_dim_3_tangent_ratio_0.40_epochs6,True,True,2.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.737049102783203,7.490274906158447,0.0,0.0
embed_dim_3_tangent_ratio_0.60_epochs6,True,True,3.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.003533363342285,6.796851634979248,0.0,0.0
embed_dim_3_tangent_ratio_0.80_epochs6,True,True,4.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.739931106567383,7.311683654785156,0.0,0.0
embed_dim_3_tangent_ratio_1.00_epochs6,True,True,5.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.640228271484375,6.487745761871338,0.0,0.0
embed_dim_3_tangent_ratio_1.20_epochs6,True,True,6.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.777578353881836,7.6072773933410645,0.0,0.0
embed_dim_3_tangent_ratio_1.40_epochs6,True,True,7.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.6585693359375,9.449615478515625,0.0,0.0
embed_dim_3_tangent_ratio_1.60_epochs6,True,True,8.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.000338554382324,8.736701011657715,0.0,0.0
embed_dim_3_tangent_ratio_1.80_epochs6,True,True,9.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.7044095993042,9.317623138427734,0.0,0.0
embed_dim_3_tangent_ratio_2.00_epochs6,True,True,10.0,5.0,1000,6,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,9.428064346313477,8.149630546569824,0.0,0.0
embed_dim_3_baseline_full_normal_epochs7,True,True,0.0,1.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,44732.3984375,44692.2578125,0.0,0.0
embed_dim_3_baseline_full_tangent_epochs7,True,True,1.0,0.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,17.853925704956055,16.488222122192383,0.0,0.0
embed_dim_3_tangent_ratio_0.20_epochs7,True,True,1.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,43.642093658447266,40.3314094543457,0.0,0.0
embed_dim_3_tangent_ratio_0.40_epochs7,True,True,2.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.6193156242370605,6.327690601348877,0.0,0.0
embed_dim_3_tangent_ratio_0.60_epochs7,True,True,3.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.108646869659424,5.9660115242004395,0.0,0.0
embed_dim_3_tangent_ratio_0.80_epochs7,True,True,4.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,6.557229042053223,5.432933330535889,0.0,0.0
embed_dim_3_tangent_ratio_1.00_epochs7,True,True,5.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,7.714388847351074,6.568477153778076,0.0,0.0
embed_dim_3_tangent_ratio_1.20_epochs7,True,True,6.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,8.717394828796387,7.464694976806641,0.0,0.0
embed_dim_3_tangent_ratio_1.40_epochs7,True,True,7.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.692138671875,9.44428825378418,0.0,0.0
embed_dim_3_tangent_ratio_1.60_epochs7,True,True,8.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,9.137956619262695,7.734732627868652,0.0,0.0
embed_dim_3_tangent_ratio_1.80_epochs7,True,True,9.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.079819679260254,8.790655136108398,0.0,0.0
embed_dim_3_tangent_ratio_2.00_epochs7,True,True,10.0,5.0,1000,7,128,0.001,2000,2000,2000,"(4.71238898038469, 14.137166941154069)","(0.0, 10.0)",200,50,0,,10.13047981262207,8.916238784790039,0.0,0.0
